Round,City,Country,Circuit_Name,Date,Time,Weather,Track_Length,Laps,Added_Laps,Turns,Finish_Position,Driver,Driver_Age,Driver_Number,Nationality,Team,Powertrain,Starting_Position,Best_Lap_Time,Race_Time,Gap,Points
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,21,Norman Nato,30,#17,French,Nissan Formula E Team,Nissan e-4ORCE 04,20,N/A,DNF,+,0
1,Mexico City,Mexico,Circuit Hermanos Rodriguez,1/14/2023,14:03 - 15:30,20.5˚C,2.630KM,36,5,19,22,Robin Frijns,31,#4,Dutch,ABT Cupra Formula E Team,Mahindra M9Electro,19,N/A,DNF,+,0
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,1,Pascal Wehrlein,28,#94,German,Tag Heuer Porsche Formula E Team,Porsche 99X Electric Gen3,9,1:10:378,47:45:567,0,25
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,2,Jake Dennis,28,#27,British,Avalanche Andretti Formula E,Porsche 99X Electric Gen3,11,1:10:160,47:46:098,+ 0:00:531,18
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,3,Sam Bird,36,#10,British,Jaguar TCS Racing,Jaguar I-Type 6,3,1:10:844,47:49:093,+ 0:03:526,15
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,4,Sebastian Buemi,34,#16,Swiss,Envision Racing,Jaguar I-Type 6,1,1:10:911,47:51:615,+ 0:06:048,15
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,5,Rene Rast,36,#58,German,NEOM McLaren Formula E Team,Nissan e-4ORCE 04,5,1:10:117,47:53:038,+ 0:07:471,11
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,6,Nick Cassidy,28,#37,New Zealander,Envision Racing,Jaguar I-Type 6,10,1:10:229,47:53:181,+ 0:07:614,8
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,7,Jean-Eric Vergne,33,#25,French,DS Penske,DS E-TENSE FE23,12,1:10:524,47:57:961,+ 0:12:394,6
2,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/27/2023,20:03 - 21:30,15˚C,2.490KM,39,0,21,8,Jake Hughes,29,#5,British,NEOM McLaren Formula E Team,Nissan e-4ORCE 04,2,1:10:776,48:00:754,+ 0:15:187,4
